year,city_avg_temp,global_avg_temp,MA_10_city,MA_10_global,,
1978,26.9,8.69,26.786,8.628,,
1979,26.96,8.73,26.801,8.645,,
1980,26.96,8.98,26.791,8.658,,
1981,26.98,9.17,26.802,8.686,,
1982,26.84,8.64,26.839,8.743,,
1983,27.3,9.03,26.829,8.757,,
1984,26.48,8.69,26.863,8.765,,
1985,26.82,8.66,26.844,8.787,,
1986,26.85,8.83,26.862,8.779,,
1987,27.18,8.99,26.891,8.827,,
1988,27.07,9.2,26.927,8.841,,
1989,26.79,8.92,26.944,8.892,,
1990,27.13,9.23,26.927,8.911,,
1991,26.99,9.18,26.944,8.936,,
1992,27,8.84,26.945,8.937,,
1993,26.93,8.87,26.961,8.957,,
1994,27.09,9.04,26.924,8.941,,
1995,27.07,9.35,26.985,8.976,,
1996,27.04,9.04,27.01,9.045,,
1997,27.39,9.2,27.029,9.066,,
1998,27.78,9.52,27.05,9.087,,
1999,27.02,9.29,27.121,9.119,,
2000,27.1,9.2,27.144,9.156,,
2001,27.19,9.41,27.141,9.153,,
2002,27.41,9.57,27.161,9.176,,
2003,27.31,9.53,27.202,9.249,,
2004,27.33,9.32,27.24,9.315,,
2005,27.49,9.7,27.264,9.343,,
2006,27.33,9.53,27.306,9.378,,
2007,27.13,9.73,27.335,9.427,,
2008,27.07,9.43,27.309,9.48,,
2009,27.47,9.51,27.238,9.471,,
2010,27.6,9.7,27.283,9.493,,
2011,27.28,9.52,27.333,9.543,,
2012,27.3,9.51,27.342,9.554,,
2013,27.6,9.61,27.331,9.548,,
